"user_id","day_0","day_1","day_2","day_3","day_4","day_5","day_6","hcut_cluster"
412384,"browse","no_browse","no_browse","browse","no_browse","no_browse","browse_to_purchase","Cluster1"
34244,"browse_to_add_to_consider","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster2"
326223,"browse","no_browse","browse_to_add_to_consider","no_browse","browse","browse_to_add_to_consider","browse_to_purchase","Cluster3"
41215,"browse_to_add_to_consider","browse","no_browse","browse","browse_to_add_to_consider","browse_to_add_to_consider","browse_to_purchase","Cluster4"
224353,"browse","no_browse","no_browse","browse","browse_to_add_to_consider","browse_to_add_to_consider","browse_to_purchase","Cluster4"
141816,"browse_to_add_to_consider","no_browse","browse_to_add_to_consider","no_browse","no_browse","no_browse","browse_to_purchase","Cluster4"
347444,"directly_purchase","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster5"
187002,"browse_to_add_to_consider","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster2"
221554,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
253455,"browse","browse","no_browse","no_browse","no_browse","browse","browse_to_purchase","Cluster6"
198046,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
307166,"directly_add_to_consider","no_browse","no_browse","no_browse","no_browse","no_browse","directly_purchase","Cluster7"
314405,"browse_to_purchase","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster2"
180940,"browse","no_browse","no_browse","no_browse","no_browse","browse_to_add_to_consider","browse_to_purchase","Cluster3"
151292,"browse","browse_to_add_to_consider","no_browse","no_browse","browse","browse","browse_to_purchase","Cluster6"
88957,"directly_purchase","no_browse","no_browse","no_browse","no_browse","no_browse","directly_purchase","Cluster7"
154895,"browse_to_purchase","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster2"
91942,"browse","browse","no_browse","no_browse","browse","no_browse","browse_to_purchase","Cluster6"
273092,"browse","browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
398813,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","directly_purchase","Cluster7"
183513,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
304972,"browse_to_add_to_consider","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster2"
294279,"directly_purchase","directly_purchase","directly_purchase","no_browse","no_browse","no_browse","directly_purchase","Cluster7"
94262,"browse","no_browse","browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
410100,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
155764,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
180275,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
291143,"browse","no_browse","browse_to_add_to_consider","no_browse","no_browse","no_browse","browse_to_purchase","Cluster4"
386792,"directly_add_to_consider","no_browse","no_browse","no_browse","no_browse","no_browse","directly_purchase","Cluster7"
358740,"browse_to_purchase","no_browse","no_browse","browse","browse","browse","browse_to_purchase","Cluster5"
415149,"browse_to_add_to_consider","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster2"
318022,"browse_to_purchase","no_browse","no_browse","no_browse","browse","no_browse","browse_to_purchase","Cluster2"
256067,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
162477,"browse_to_add_to_consider","browse","browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster1"
88150,"browse","no_browse","no_browse","no_browse","no_browse","browse_to_add_to_consider","browse_to_purchase","Cluster3"
291627,"browse","no_browse","no_browse","no_browse","browse","no_browse","browse_to_purchase","Cluster6"
155124,"browse_to_add_to_consider","browse_to_add_to_consider","browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster4"
208593,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","directly_purchase","Cluster7"
162184,"browse","no_browse","no_browse","browse","browse","no_browse","browse_to_purchase","Cluster6"
196228,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
65825,"browse","no_browse","no_browse","browse","browse","no_browse","browse_to_purchase","Cluster6"
17062,"browse_to_add_to_consider","browse","no_browse","no_browse","no_browse","browse_to_add_to_consider","browse_to_purchase","Cluster3"
300678,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
310100,"directly_add_to_consider","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster8"
233644,"browse","browse_to_add_to_consider","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
260232,"browse_to_purchase","browse","no_browse","no_browse","no_browse","browse","browse_to_purchase","Cluster2"
209294,"browse","no_browse","no_browse","no_browse","no_browse","browse","browse_to_purchase","Cluster6"
112113,"browse","no_browse","no_browse","no_browse","no_browse","browse","browse_to_purchase","Cluster6"
369867,"browse","no_browse","no_browse","no_browse","directly_purchase","no_browse","browse_to_purchase","Cluster2"
64702,"browse","no_browse","browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
96020,"browse","no_browse","no_browse","browse","no_browse","no_browse","browse_to_purchase","Cluster1"
291532,"directly_add_to_consider","no_browse","no_browse","no_browse","directly_add_to_consider","directly_add_to_consider","directly_purchase","Cluster7"
143963,"browse_to_add_to_consider","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster2"
229594,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
186107,"browse","no_browse","no_browse","no_browse","no_browse","browse_to_add_to_consider","browse_to_purchase","Cluster3"
331224,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
319312,"browse_to_add_to_consider","no_browse","no_browse","no_browse","no_browse","browse_to_add_to_consider","directly_purchase","Cluster7"
59752,"browse_to_add_to_consider","no_browse","browse","no_browse","no_browse","browse","browse_to_purchase","Cluster1"
351674,"browse","no_browse","no_browse","no_browse","no_browse","browse_to_add_to_consider","browse_to_purchase","Cluster3"
285862,"browse_to_purchase","browse_to_purchase","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster2"
345205,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
234707,"directly_add_to_consider","no_browse","no_browse","no_browse","directly_add_to_consider","no_browse","browse_to_purchase","Cluster8"
259373,"browse_to_purchase","no_browse","browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster2"
45042,"directly_purchase","no_browse","no_browse","no_browse","no_browse","no_browse","directly_purchase","Cluster7"
43603,"directly_purchase","no_browse","no_browse","directly_add_to_consider","no_browse","no_browse","browse_to_purchase","Cluster8"
79518,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
33056,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
403146,"browse","no_browse","no_browse","no_browse","browse","no_browse","browse_to_purchase","Cluster6"
359516,"browse_to_purchase","browse","no_browse","no_browse","browse","no_browse","browse_to_purchase","Cluster1"
322628,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
267710,"browse","no_browse","no_browse","browse","no_browse","browse_to_purchase","browse_to_purchase","Cluster6"
245583,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
150604,"browse","no_browse","no_browse","browse_to_add_to_consider","no_browse","no_browse","browse_to_purchase","Cluster4"
3981,"browse","no_browse","browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
93925,"directly_add_to_consider","directly_add_to_consider","no_browse","no_browse","no_browse","no_browse","directly_purchase","Cluster7"
240568,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
161856,"browse","browse","browse_to_purchase","browse","no_browse","no_browse","browse_to_purchase","Cluster6"
62507,"directly_purchase","directly_add_to_consider","no_browse","no_browse","no_browse","directly_add_to_consider","directly_purchase","Cluster7"
6466,"browse_to_purchase","no_browse","browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster2"
116396,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","directly_purchase","Cluster7"
138464,"browse","no_browse","no_browse","browse","no_browse","no_browse","browse_to_purchase","Cluster1"
316368,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
339351,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
301132,"browse","no_browse","no_browse","no_browse","directly_add_to_consider","directly_add_to_consider","directly_purchase","Cluster7"
224590,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
185381,"directly_add_to_consider","no_browse","browse","no_browse","directly_purchase","browse_to_add_to_consider","browse_to_purchase","Cluster8"
375227,"browse","browse_to_purchase","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster2"
183318,"browse_to_add_to_consider","browse","no_browse","no_browse","no_browse","browse_to_add_to_consider","browse_to_purchase","Cluster3"
10309,"browse","browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
403979,"browse","no_browse","no_browse","no_browse","no_browse","browse","browse_to_purchase","Cluster6"
132287,"browse_to_purchase","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster2"
282954,"browse","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
135123,"browse","browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
228138,"browse","no_browse","no_browse","no_browse","no_browse","browse","browse_to_purchase","Cluster6"
81934,"browse","no_browse","browse_to_purchase","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
235946,"browse_to_add_to_consider","no_browse","no_browse","no_browse","no_browse","no_browse","directly_purchase","Cluster7"
36713,"browse_to_purchase","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster2"
419211,"browse","no_browse","browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
246592,"browse","no_browse","no_browse","browse_to_add_to_consider","no_browse","browse_to_add_to_consider","browse_to_purchase","Cluster4"
138926,"browse","browse_to_add_to_consider","no_browse","no_browse","no_browse","browse","browse_to_purchase","Cluster6"
178340,"browse","browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster6"
178394,"directly_add_to_consider","directly_add_to_consider","no_browse","directly_add_to_consider","directly_add_to_consider","directly_purchase","browse_to_purchase","Cluster8"
423357,"browse_to_purchase","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster2"
49192,"directly_add_to_consider","no_browse","no_browse","no_browse","no_browse","no_browse","browse_to_purchase","Cluster8"
3314,"browse","no_browse","no_browse","browse","no_browse","no_browse","directly_purchase","Cluster7"
206467,"directly_purchase","no_browse","directly_add_to_consider","no_browse","no_browse","directly_add_to_consider","browse_to_purchase","Cluster8"
125433,"directly_add_to_consider","no_browse","no_browse","no_browse","no_browse","directly_add_to_consider","browse_to_purchase","Cluster8"
369225,"directly_purchase","no_browse","no_browse","browse","browse","browse_to_purchase","browse_to_purchase","Cluster2"
