user_id,day_0,day_1,day_2,day_3,day_4,day_5,day_6
412384,browse,no_browse,no_browse,browse,no_browse,no_browse,browse_to_purchase
34244,browse_to_add_to_consider,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
326223,browse,no_browse,browse_to_add_to_consider,no_browse,browse,browse_to_add_to_consider,browse_to_purchase
41215,browse_to_add_to_consider,browse,no_browse,browse,browse_to_add_to_consider,browse_to_add_to_consider,browse_to_purchase
224353,browse,no_browse,no_browse,browse,browse_to_add_to_consider,browse_to_add_to_consider,browse_to_purchase
141816,browse_to_add_to_consider,no_browse,browse_to_add_to_consider,no_browse,no_browse,no_browse,browse_to_purchase
347444,directly_purchase,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
187002,browse_to_add_to_consider,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
221554,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
253455,browse,browse,no_browse,no_browse,no_browse,browse,browse_to_purchase
198046,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
307166,directly_add_to_consider,no_browse,no_browse,no_browse,no_browse,no_browse,directly_purchase
314405,browse_to_purchase,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
180940,browse,no_browse,no_browse,no_browse,no_browse,browse_to_add_to_consider,browse_to_purchase
151292,browse,browse_to_add_to_consider,no_browse,no_browse,browse,browse,browse_to_purchase
88957,directly_purchase,no_browse,no_browse,no_browse,no_browse,no_browse,directly_purchase
154895,browse_to_purchase,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
91942,browse,browse,no_browse,no_browse,browse,no_browse,browse_to_purchase
273092,browse,browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
398813,browse,no_browse,no_browse,no_browse,no_browse,no_browse,directly_purchase
183513,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
304972,browse_to_add_to_consider,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
294279,directly_purchase,directly_purchase,directly_purchase,no_browse,no_browse,no_browse,directly_purchase
94262,browse,no_browse,browse,no_browse,no_browse,no_browse,browse_to_purchase
410100,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
155764,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
180275,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
291143,browse,no_browse,browse_to_add_to_consider,no_browse,no_browse,no_browse,browse_to_purchase
386792,directly_add_to_consider,no_browse,no_browse,no_browse,no_browse,no_browse,directly_purchase
358740,browse_to_purchase,no_browse,no_browse,browse,browse,browse,browse_to_purchase
415149,browse_to_add_to_consider,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
318022,browse_to_purchase,no_browse,no_browse,no_browse,browse,no_browse,browse_to_purchase
256067,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
162477,browse_to_add_to_consider,browse,browse,no_browse,no_browse,no_browse,browse_to_purchase
88150,browse,no_browse,no_browse,no_browse,no_browse,browse_to_add_to_consider,browse_to_purchase
291627,browse,no_browse,no_browse,no_browse,browse,no_browse,browse_to_purchase
155124,browse_to_add_to_consider,browse_to_add_to_consider,browse,no_browse,no_browse,no_browse,browse_to_purchase
208593,browse,no_browse,no_browse,no_browse,no_browse,no_browse,directly_purchase
162184,browse,no_browse,no_browse,browse,browse,no_browse,browse_to_purchase
196228,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
65825,browse,no_browse,no_browse,browse,browse,no_browse,browse_to_purchase
17062,browse_to_add_to_consider,browse,no_browse,no_browse,no_browse,browse_to_add_to_consider,browse_to_purchase
300678,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
310100,directly_add_to_consider,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
233644,browse,browse_to_add_to_consider,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
260232,browse_to_purchase,browse,no_browse,no_browse,no_browse,browse,browse_to_purchase
209294,browse,no_browse,no_browse,no_browse,no_browse,browse,browse_to_purchase
112113,browse,no_browse,no_browse,no_browse,no_browse,browse,browse_to_purchase
369867,browse,no_browse,no_browse,no_browse,directly_purchase,no_browse,browse_to_purchase
64702,browse,no_browse,browse,no_browse,no_browse,no_browse,browse_to_purchase
96020,browse,no_browse,no_browse,browse,no_browse,no_browse,browse_to_purchase
291532,directly_add_to_consider,no_browse,no_browse,no_browse,directly_add_to_consider,directly_add_to_consider,directly_purchase
143963,browse_to_add_to_consider,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
229594,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
186107,browse,no_browse,no_browse,no_browse,no_browse,browse_to_add_to_consider,browse_to_purchase
331224,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
319312,browse_to_add_to_consider,no_browse,no_browse,no_browse,no_browse,browse_to_add_to_consider,directly_purchase
59752,browse_to_add_to_consider,no_browse,browse,no_browse,no_browse,browse,browse_to_purchase
351674,browse,no_browse,no_browse,no_browse,no_browse,browse_to_add_to_consider,browse_to_purchase
285862,browse_to_purchase,browse_to_purchase,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
345205,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
234707,directly_add_to_consider,no_browse,no_browse,no_browse,directly_add_to_consider,no_browse,browse_to_purchase
259373,browse_to_purchase,no_browse,browse,no_browse,no_browse,no_browse,browse_to_purchase
45042,directly_purchase,no_browse,no_browse,no_browse,no_browse,no_browse,directly_purchase
43603,directly_purchase,no_browse,no_browse,directly_add_to_consider,no_browse,no_browse,browse_to_purchase
79518,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
33056,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
403146,browse,no_browse,no_browse,no_browse,browse,no_browse,browse_to_purchase
359516,browse_to_purchase,browse,no_browse,no_browse,browse,no_browse,browse_to_purchase
322628,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
267710,browse,no_browse,no_browse,browse,no_browse,browse_to_purchase,browse_to_purchase
245583,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
150604,browse,no_browse,no_browse,browse_to_add_to_consider,no_browse,no_browse,browse_to_purchase
3981,browse,no_browse,browse,no_browse,no_browse,no_browse,browse_to_purchase
93925,directly_add_to_consider,directly_add_to_consider,no_browse,no_browse,no_browse,no_browse,directly_purchase
240568,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
161856,browse,browse,browse_to_purchase,browse,no_browse,no_browse,browse_to_purchase
62507,directly_purchase,directly_add_to_consider,no_browse,no_browse,no_browse,directly_add_to_consider,directly_purchase
6466,browse_to_purchase,no_browse,browse,no_browse,no_browse,no_browse,browse_to_purchase
116396,browse,no_browse,no_browse,no_browse,no_browse,no_browse,directly_purchase
138464,browse,no_browse,no_browse,browse,no_browse,no_browse,browse_to_purchase
316368,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
339351,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
301132,browse,no_browse,no_browse,no_browse,directly_add_to_consider,directly_add_to_consider,directly_purchase
224590,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
185381,directly_add_to_consider,no_browse,browse,no_browse,directly_purchase,browse_to_add_to_consider,browse_to_purchase
375227,browse,browse_to_purchase,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
183318,browse_to_add_to_consider,browse,no_browse,no_browse,no_browse,browse_to_add_to_consider,browse_to_purchase
10309,browse,browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
403979,browse,no_browse,no_browse,no_browse,no_browse,browse,browse_to_purchase
132287,browse_to_purchase,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
282954,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
135123,browse,browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
228138,browse,no_browse,no_browse,no_browse,no_browse,browse,browse_to_purchase
81934,browse,no_browse,browse_to_purchase,no_browse,no_browse,no_browse,browse_to_purchase
235946,browse_to_add_to_consider,no_browse,no_browse,no_browse,no_browse,no_browse,directly_purchase
36713,browse_to_purchase,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
419211,browse,no_browse,browse,no_browse,no_browse,no_browse,browse_to_purchase
246592,browse,no_browse,no_browse,browse_to_add_to_consider,no_browse,browse_to_add_to_consider,browse_to_purchase
138926,browse,browse_to_add_to_consider,no_browse,no_browse,no_browse,browse,browse_to_purchase
178340,browse,browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
178394,directly_add_to_consider,directly_add_to_consider,no_browse,directly_add_to_consider,directly_add_to_consider,directly_purchase,browse_to_purchase
423357,browse_to_purchase,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
49192,directly_add_to_consider,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
3314,browse,no_browse,no_browse,browse,no_browse,no_browse,directly_purchase
206467,directly_purchase,no_browse,directly_add_to_consider,no_browse,no_browse,directly_add_to_consider,browse_to_purchase
125433,directly_add_to_consider,no_browse,no_browse,no_browse,no_browse,directly_add_to_consider,browse_to_purchase
369225,directly_purchase,no_browse,no_browse,browse,browse,browse_to_purchase,browse_to_purchase
244325,browse_to_purchase,no_browse,browse,no_browse,no_browse,no_browse,browse_to_purchase
305937,browse,no_browse,no_browse,no_browse,no_browse,browse,browse_to_purchase
328964,browse,no_browse,browse_to_purchase,no_browse,no_browse,browse,browse_to_purchase
77455,directly_add_to_consider,no_browse,browse,no_browse,browse,no_browse,browse_to_purchase
110891,browse,no_browse,no_browse,browse,no_browse,no_browse,browse_to_purchase
25107,browse,no_browse,no_browse,no_browse,no_browse,browse,browse_to_purchase
83823,browse,no_browse,no_browse,browse,no_browse,no_browse,browse_to_purchase
120898,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
324617,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
342212,browse_to_purchase,no_browse,no_browse,no_browse,browse,no_browse,browse_to_purchase
194034,browse,no_browse,no_browse,no_browse,no_browse,browse,browse_to_purchase
96279,browse_to_add_to_consider,browse_to_add_to_consider,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
161207,browse,no_browse,no_browse,no_browse,no_browse,browse,browse_to_purchase
64031,browse_to_add_to_consider,no_browse,no_browse,no_browse,browse_to_add_to_consider,no_browse,browse_to_purchase
91226,directly_purchase,browse_to_purchase,no_browse,no_browse,browse_to_purchase,no_browse,browse_to_purchase
201070,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
217311,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
41609,directly_add_to_consider,no_browse,no_browse,no_browse,no_browse,browse_to_add_to_consider,browse_to_purchase
154054,browse,browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
146343,browse,no_browse,browse,no_browse,no_browse,no_browse,browse_to_purchase
343905,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
234758,browse,no_browse,no_browse,no_browse,browse,no_browse,browse_to_purchase
291705,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
394018,browse_to_add_to_consider,no_browse,browse_to_add_to_consider,no_browse,no_browse,no_browse,browse_to_purchase
354950,browse,browse_to_add_to_consider,browse_to_add_to_consider,no_browse,no_browse,browse,browse_to_purchase
308426,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
100116,browse_to_add_to_consider,no_browse,browse,browse_to_add_to_consider,no_browse,no_browse,browse_to_purchase
5360,browse,browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
125290,browse,no_browse,browse,no_browse,browse,no_browse,browse_to_purchase
255984,browse,no_browse,no_browse,no_browse,no_browse,directly_add_to_consider,browse_to_purchase
223733,browse,no_browse,browse_to_purchase,no_browse,browse,browse_to_add_to_consider,browse_to_purchase
92006,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
328175,browse,browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
403796,browse,no_browse,browse,no_browse,browse,browse_to_add_to_consider,browse_to_purchase
138624,browse_to_purchase,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
117174,browse_to_add_to_consider,no_browse,browse,browse_to_add_to_consider,browse,browse,browse_to_purchase
232808,browse,no_browse,no_browse,no_browse,browse,browse,browse_to_purchase
150016,browse,no_browse,browse_to_add_to_consider,no_browse,no_browse,browse_to_add_to_consider,directly_purchase
232761,browse_to_add_to_consider,browse,no_browse,browse_to_add_to_consider,no_browse,browse_to_add_to_consider,browse_to_purchase
98852,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
170945,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
46845,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
158089,browse_to_purchase,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
101760,browse_to_purchase,browse_to_add_to_consider,browse_to_add_to_consider,no_browse,no_browse,no_browse,directly_purchase
270374,browse,no_browse,browse,no_browse,no_browse,browse,browse_to_purchase
167645,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
388125,browse_to_add_to_consider,no_browse,no_browse,directly_add_to_consider,browse_to_purchase,no_browse,browse_to_purchase
350597,browse_to_add_to_consider,browse_to_purchase,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
179987,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
343344,browse_to_purchase,no_browse,no_browse,browse_to_add_to_consider,no_browse,no_browse,browse_to_purchase
392484,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
172255,browse_to_add_to_consider,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
229177,browse,no_browse,no_browse,no_browse,no_browse,no_browse,directly_purchase
111110,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
60551,browse_to_purchase,no_browse,no_browse,no_browse,no_browse,browse,directly_purchase
104463,browse,no_browse,no_browse,browse,browse,browse,browse_to_purchase
109567,browse,browse,browse_to_purchase,no_browse,no_browse,no_browse,browse_to_purchase
368415,browse,no_browse,browse_to_add_to_consider,browse,no_browse,no_browse,browse_to_purchase
121070,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
68095,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
210104,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
260734,browse_to_purchase,no_browse,no_browse,no_browse,browse,no_browse,browse_to_purchase
363273,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
405135,browse_to_purchase,browse_to_purchase,browse_to_purchase,no_browse,no_browse,no_browse,browse_to_purchase
109512,browse_to_purchase,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
31294,directly_add_to_consider,no_browse,no_browse,no_browse,directly_add_to_consider,no_browse,browse_to_purchase
266927,browse,no_browse,no_browse,browse,no_browse,no_browse,directly_purchase
165436,browse,no_browse,browse,no_browse,no_browse,browse,browse_to_purchase
371760,browse,no_browse,no_browse,browse_to_add_to_consider,browse_to_add_to_consider,browse_to_add_to_consider,browse_to_purchase
382486,browse_to_add_to_consider,no_browse,no_browse,no_browse,no_browse,no_browse,directly_purchase
187636,directly_purchase,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
162705,browse,no_browse,no_browse,no_browse,no_browse,no_browse,directly_purchase
115877,browse_to_add_to_consider,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
68488,directly_purchase,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
36864,browse_to_add_to_consider,no_browse,no_browse,no_browse,no_browse,browse_to_add_to_consider,browse_to_purchase
179130,directly_purchase,no_browse,no_browse,no_browse,browse_to_add_to_consider,no_browse,browse_to_purchase
395505,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
290465,browse_to_purchase,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
240404,browse,no_browse,browse_to_purchase,no_browse,no_browse,no_browse,browse_to_purchase
137446,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
167590,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
256692,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
68950,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
33041,browse,no_browse,browse,no_browse,no_browse,no_browse,directly_purchase
292163,browse,no_browse,browse_to_add_to_consider,browse,no_browse,no_browse,browse_to_purchase
168056,directly_purchase,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
217413,browse,no_browse,no_browse,no_browse,no_browse,no_browse,browse_to_purchase
