browse,browse_to_add_to_consider,browse_to_purchase,directly_add_to_consider,directly_purchase,no_browse,user_id
2,0,1,0,0,4,412384
0,1,1,0,0,5,34244
2,2,1,0,0,2,326223
2,3,1,0,0,1,41215
2,2,1,0,0,2,224353
0,2,1,0,0,4,141816
0,0,1,0,1,5,347444
0,1,1,0,0,5,187002
1,0,1,0,0,5,221554
3,0,1,0,0,3,253455
1,0,1,0,0,5,198046
0,0,0,1,1,5,307166
0,0,2,0,0,5,314405
1,1,1,0,0,4,180940
3,1,1,0,0,2,151292
0,0,0,0,2,5,88957
0,0,2,0,0,5,154895
3,0,1,0,0,3,91942
2,0,1,0,0,4,273092
1,0,0,0,1,5,398813
1,0,1,0,0,5,183513
0,1,1,0,0,5,304972
0,0,0,0,4,3,294279
2,0,1,0,0,4,94262
1,0,1,0,0,5,410100
1,0,1,0,0,5,155764
1,0,1,0,0,5,180275
1,1,1,0,0,4,291143
0,0,0,1,1,5,386792
3,0,2,0,0,2,358740
0,1,1,0,0,5,415149
1,0,2,0,0,4,318022
1,0,1,0,0,5,256067
2,1,1,0,0,3,162477
1,1,1,0,0,4,88150
2,0,1,0,0,4,291627
1,2,1,0,0,3,155124
1,0,0,0,1,5,208593
3,0,1,0,0,3,162184
1,0,1,0,0,5,196228
3,0,1,0,0,3,65825
1,2,1,0,0,3,17062
1,0,1,0,0,5,300678
0,0,1,1,0,5,310100
1,1,1,0,0,4,233644
2,0,2,0,0,3,260232
2,0,1,0,0,4,209294
2,0,1,0,0,4,112113
1,0,1,0,1,4,369867
2,0,1,0,0,4,64702
2,0,1,0,0,4,96020
0,0,0,3,1,3,291532
0,1,1,0,0,5,143963
1,0,1,0,0,5,229594
1,1,1,0,0,4,186107
1,0,1,0,0,5,331224
0,2,0,0,1,4,319312
2,1,1,0,0,3,59752
1,1,1,0,0,4,351674
0,0,3,0,0,4,285862
1,0,1,0,0,5,345205
0,0,1,2,0,4,234707
1,0,2,0,0,4,259373
0,0,0,0,2,5,45042
0,0,1,1,1,4,43603
1,0,1,0,0,5,79518
1,0,1,0,0,5,33056
2,0,1,0,0,4,403146
2,0,2,0,0,3,359516
1,0,1,0,0,5,322628
2,0,2,0,0,3,267710
1,0,1,0,0,5,245583
1,1,1,0,0,4,150604
2,0,1,0,0,4,3981
0,0,0,2,1,4,93925
1,0,1,0,0,5,240568
3,0,2,0,0,2,161856
0,0,0,2,2,3,62507
1,0,2,0,0,4,6466
1,0,0,0,1,5,116396
2,0,1,0,0,4,138464
1,0,1,0,0,5,316368
1,0,1,0,0,5,339351
1,0,0,2,1,3,301132
1,0,1,0,0,5,224590
1,1,1,1,1,2,185381
1,0,2,0,0,4,375227
1,2,1,0,0,3,183318
2,0,1,0,0,4,10309
2,0,1,0,0,4,403979
0,0,2,0,0,5,132287
1,0,1,0,0,5,282954
2,0,1,0,0,4,135123
2,0,1,0,0,4,228138
1,0,2,0,0,4,81934
0,1,0,0,1,5,235946
0,0,2,0,0,5,36713
2,0,1,0,0,4,419211
1,2,1,0,0,3,246592
2,1,1,0,0,3,138926
2,0,1,0,0,4,178340
0,0,1,4,1,1,178394
0,0,2,0,0,5,423357
0,0,1,1,0,5,49192
2,0,0,0,1,4,3314
0,0,1,2,1,3,206467
0,0,1,2,0,4,125433
2,0,2,0,1,2,369225
1,0,2,0,0,4,244325
2,0,1,0,0,4,305937
2,0,2,0,0,3,328964
2,0,1,1,0,3,77455
2,0,1,0,0,4,110891
2,0,1,0,0,4,25107
2,0,1,0,0,4,83823
1,0,1,0,0,5,120898
1,0,1,0,0,5,324617
1,0,2,0,0,4,342212
2,0,1,0,0,4,194034
0,2,1,0,0,4,96279
2,0,1,0,0,4,161207
0,2,1,0,0,4,64031
0,0,3,0,1,3,91226
1,0,1,0,0,5,201070
1,0,1,0,0,5,217311
0,1,1,1,0,4,41609
2,0,1,0,0,4,154054
2,0,1,0,0,4,146343
1,0,1,0,0,5,343905
2,0,1,0,0,4,234758
1,0,1,0,0,5,291705
0,2,1,0,0,4,394018
2,2,1,0,0,2,354950
1,0,1,0,0,5,308426
1,2,1,0,0,3,100116
2,0,1,0,0,4,5360
3,0,1,0,0,3,125290
1,0,1,1,0,4,255984
2,1,2,0,0,2,223733
1,0,1,0,0,5,92006
2,0,1,0,0,4,328175
3,1,1,0,0,2,403796
0,0,2,0,0,5,138624
3,2,1,0,0,1,117174
3,0,1,0,0,3,232808
1,2,0,0,1,3,150016
1,3,1,0,0,2,232761
1,0,1,0,0,5,98852
1,0,1,0,0,5,170945
1,0,1,0,0,5,46845
0,0,2,0,0,5,158089
0,2,1,0,1,3,101760
3,0,1,0,0,3,270374
1,0,1,0,0,5,167645
0,1,2,1,0,3,388125
0,1,2,0,0,4,350597
1,0,1,0,0,5,179987
0,1,2,0,0,4,343344
1,0,1,0,0,5,392484
0,1,1,0,0,5,172255
1,0,0,0,1,5,229177
1,0,1,0,0,5,111110
1,0,1,0,1,4,60551
4,0,1,0,0,2,104463
2,0,2,0,0,3,109567
2,1,1,0,0,3,368415
1,0,1,0,0,5,121070
1,0,1,0,0,5,68095
1,0,1,0,0,5,210104
1,0,2,0,0,4,260734
1,0,1,0,0,5,363273
0,0,4,0,0,3,405135
0,0,2,0,0,5,109512
0,0,1,2,0,4,31294
2,0,0,0,1,4,266927
3,0,1,0,0,3,165436
1,3,1,0,0,2,371760
0,1,0,0,1,5,382486
0,0,1,0,1,5,187636
1,0,0,0,1,5,162705
0,1,1,0,0,5,115877
0,0,1,0,1,5,68488
0,2,1,0,0,4,36864
0,1,1,0,1,4,179130
1,0,1,0,0,5,395505
0,0,2,0,0,5,290465
1,0,2,0,0,4,240404
1,0,1,0,0,5,137446
1,0,1,0,0,5,167590
1,0,1,0,0,5,256692
1,0,1,0,0,5,68950
2,0,0,0,1,4,33041
2,1,1,0,0,3,292163
0,0,1,0,1,5,168056
1,0,1,0,0,5,217413
0,1,2,0,0,4,309633
2,0,1,0,0,4,305950
2,0,1,0,0,4,331825
1,0,1,0,0,5,378332
1,1,1,0,0,4,317177
2,1,2,0,0,2,101812
1,0,1,0,0,5,194981
1,1,1,0,0,4,135136
2,0,1,0,0,4,361403
0,0,2,0,0,5,145262
2,0,1,0,0,4,278734
1,0,1,0,0,5,163329
1,1,1,0,0,4,238377
1,0,1,0,1,4,301195
1,0,2,0,0,4,245065
3,0,2,0,0,2,398147
2,0,1,0,0,4,15969
2,0,1,0,0,4,156742
1,0,1,0,0,5,77291
1,2,1,0,0,3,301711
1,0,1,0,0,5,110762
0,1,1,0,0,5,328668
1,0,1,0,0,5,55426
1,1,1,0,0,4,111877
1,0,1,0,0,5,354843
1,0,2,0,0,4,250698
1,1,1,0,0,4,230295
1,0,2,0,0,4,176862
0,0,2,0,0,5,361663
2,1,1,0,0,3,239718
2,1,1,0,0,3,41537
0,0,1,2,0,4,302693
0,0,1,1,0,5,85270
0,0,1,0,1,5,10804
0,0,0,1,1,5,23715
3,0,1,0,0,3,251725
1,0,1,0,0,5,199671
1,0,1,0,0,5,422333
3,0,1,0,0,3,151950
2,0,1,0,0,4,61335
0,1,1,2,0,3,278542
1,0,1,0,0,5,325993
0,1,2,0,0,4,185776
0,1,1,1,0,4,117776
1,0,1,0,0,5,348645
2,0,1,0,0,4,302971
0,1,1,1,0,4,232146
0,0,2,0,0,5,149719
1,0,1,0,0,5,150901
2,0,1,0,0,4,398795
0,4,1,0,0,2,192686
1,0,1,0,0,5,359610
2,0,1,0,0,4,208238
2,0,1,0,0,4,364761
1,0,2,0,0,4,74826
2,0,1,0,0,4,386188
3,0,1,0,0,3,211944
4,0,1,0,0,2,44697
3,0,1,0,0,3,44060
0,0,2,0,0,5,416067
0,1,1,0,0,5,176836
1,0,1,0,0,5,317782
1,0,1,0,0,5,168027
0,0,2,0,0,5,342774
2,1,1,0,0,3,60206
1,3,1,0,0,2,369067
2,0,1,0,0,4,299761
1,1,1,0,0,4,52351
2,0,1,0,0,4,58227
2,0,4,0,0,1,373568
1,1,0,0,1,4,217623
1,2,1,0,0,3,31956
1,0,1,0,0,5,344010
1,0,1,1,0,4,38641
1,0,2,0,0,4,410770
1,0,1,0,0,5,407388
2,0,1,0,0,4,182065
1,0,1,0,0,5,183632
2,0,0,0,1,4,409967
1,0,1,0,0,5,182252
2,0,1,0,0,4,352882
1,0,1,1,0,4,56093
3,0,1,0,0,3,378582
2,1,1,0,0,3,250320
1,0,1,0,0,5,135229
1,0,1,0,0,5,157199
2,0,0,1,1,3,284438
1,3,2,0,0,1,365591
0,1,1,1,0,4,287734
1,0,1,0,0,5,234015
1,0,1,0,0,5,248990
0,0,0,4,1,2,142796
1,0,1,0,0,5,333480
1,1,1,0,0,4,187486
0,0,1,0,1,5,367127
1,0,1,0,0,5,14206
